2155,17:51:01:570,
2463,17:51:01:571,
2475,17:51:01:572,
2970,17:51:01:572,
2400,17:51:01:573,
3059,17:51:01:573,
2833,17:51:01:574,
2431,17:51:01:575,
3563,17:51:01:575,
2607,17:51:01:575,
2487,17:51:01:576,
2386,17:51:01:577,
2198,17:51:01:577,
2395,17:51:01:578,
1959,17:51:01:578,
1952,17:51:01:578,
1670,17:51:01:579,
1607,17:51:01:580,
2029,17:51:01:580,
1792,17:51:01:581,
1680,17:51:01:581,
2129,17:51:01:582,
1840,17:51:01:582,
1891,17:51:01:583,
1767,17:51:01:583,
2073,17:51:01:587,
1871,17:51:01:588,
1893,17:51:01:588,
2193,17:51:01:588,
1947,17:51:01:588,
1950,17:51:01:588,
2103,17:51:01:588,
2018,17:51:01:588,
2111,17:51:01:589,
1910,17:51:01:589,
2187,17:51:01:589,
2003,17:51:01:589,
1963,17:51:01:589,
2274,17:51:01:589,
2027,17:51:01:589,
2098,17:51:01:590,
2150,17:51:01:590,
2082,17:51:01:590,
2192,17:51:01:590,
2001,17:51:01:590,
2241,17:51:01:590,
2112,17:51:01:590,
2480,17:51:01:591,
2607,17:51:01:591,
2191,17:51:01:591,
2192,17:51:01:591,
2205,17:51:01:591,
2223,17:51:01:591,
2285,17:51:01:591,
2069,17:51:01:593,
2229,17:51:01:593,
2039,17:51:01:593,
2064,17:51:01:593,
2395,17:51:01:593,
2127,17:51:01:594,
2179,17:51:01:594,
2255,17:51:01:594,
2459,17:51:01:595,
2282,17:51:01:595,
1507,17:51:01:595,
2320,17:51:01:595,
2198,17:51:01:595,
2197,17:51:01:595,
2457,17:51:01:595,
2327,17:51:01:596,
2335,17:51:01:596,
2205,17:51:01:596,
2255,17:51:01:596,
2471,17:51:01:597,
2299,17:51:01:597,
2422,17:51:01:597,
2511,17:51:01:597,
2275,17:51:01:597,
2159,17:51:01:597,
2123,17:51:01:597,
2181,17:51:01:598,
2256,17:51:01:598,
3535,17:51:01:598,
2551,17:51:01:599,
2257,17:51:01:599,
2475,17:51:01:599,
2291,17:51:01:599,
2183,17:51:01:599,
2309,17:51:01:599,
2091,17:51:01:599,
2123,17:51:01:602,
2183,17:51:01:602,
2187,17:51:01:602,
2407,17:51:01:602,
2294,17:51:01:603,
2399,17:51:01:603,
2243,17:51:01:603,
2190,17:51:01:603,
2341,17:51:01:603,
2119,17:51:01:603,
2443,17:51:01:603,
2479,17:51:01:604,
2497,17:51:01:604,
2503,17:51:01:604,
2243,17:51:01:604,
2509,17:51:01:604,
2415,17:51:01:605,
2303,17:51:01:605,
2493,17:51:01:605,
2245,17:51:01:605,
2170,17:51:01:605,
2225,17:51:01:605,
2213,17:51:01:605,
2475,17:51:01:606,
2320,17:51:01:606,
2490,17:51:01:606,
2347,17:51:01:606,
2298,17:51:01:606,
2587,17:51:01:607,
2243,17:51:01:607,
2287,17:51:01:607,
2037,17:51:01:607,
2134,17:51:01:607,
2333,17:51:01:607,
2063,17:51:01:607,
2227,17:51:01:608,
2116,17:51:01:608,
2113,17:51:01:608,
2407,17:51:01:608,
2130,17:51:01:608,
3355,17:51:01:609,
2498,17:51:01:609,
2434,17:51:01:609,
2367,17:51:01:609,
1936,17:51:01:609,
2309,17:51:01:609,
2351,17:51:01:609,
2179,17:51:01:610,
2511,17:51:01:610,
2335,17:51:01:610,
2389,17:51:01:610,
2437,17:51:01:611,
2530,17:51:01:611,
2891,17:51:01:611,
2375,17:51:01:611,
2909,17:51:01:611,
2771,17:51:01:611,
2595,17:51:01:611,
3109,17:51:01:612,
2479,17:51:01:612,
2625,17:51:01:613,
2445,17:51:01:613,
2346,17:51:01:613,
1621,17:51:01:613,
1729,17:51:01:613,
2128,17:51:01:613,
2003,17:51:01:613,
1808,17:51:01:614,
2431,17:51:01:614,
2066,17:51:01:614,
2075,17:51:01:614,
1991,17:51:01:618,
1997,17:51:01:619,
2243,17:51:01:619,
1958,17:51:01:620,
2147,17:51:01:621,
2006,17:51:01:621,
2045,17:51:01:621,
2331,17:51:01:622,
2096,17:51:01:622,
2070,17:51:01:623,
2031,17:51:01:623,
2102,17:51:01:623,
2308,17:51:01:623,
2044,17:51:01:624,
2214,17:51:01:624,
2075,17:51:01:624,
2125,17:51:01:624,
2373,17:51:01:625,
2123,17:51:01:625,
2013,17:51:01:625,
2018,17:51:01:625,
2091,17:51:01:625,
2375,17:51:01:625,
2122,17:51:01:625,
2281,17:51:01:625,
2096,17:51:01:626,
2143,17:51:01:626,
2519,17:51:01:626,
2369,17:51:01:627,
2385,17:51:01:627,
2363,17:51:01:627,
2399,17:51:01:627,
2435,17:51:01:627,
2202,17:51:01:627,
2161,17:51:01:627,
2059,17:51:01:628,
2129,17:51:01:628,
2449,17:51:01:629,
3237,17:51:01:629,
2303,17:51:01:629,
1776,17:51:01:629,
2607,17:51:01:629,
2659,17:51:01:629,
2320,17:51:01:629,
2626,17:51:01:630,
2288,17:51:01:630,
2055,17:51:01:630,
2419,17:51:01:630,
2154,17:51:01:631,
2139,17:51:01:631,
2019,17:51:01:631,
2191,17:51:01:631,
2399,17:51:01:631,
2133,17:51:01:631,
2277,17:51:01:631,
2173,17:51:01:632,
2170,17:51:01:632,
2543,17:51:01:632,
2371,17:51:01:632,
2351,17:51:01:633,
2319,17:51:01:633,
2371,17:51:01:633,
2453,17:51:01:633,
2223,17:51:01:633,
2253,17:51:01:633,
2164,17:51:01:633,
2059,17:51:01:634,
2543,17:51:01:634,
2382,17:51:01:635,
2349,17:51:01:635,
2337,17:51:01:635,
2391,17:51:01:635,
2478,17:51:01:635,
2223,17:51:01:635,
2289,17:51:01:635,
2207,17:51:01:636,
2128,17:51:01:636,
2387,17:51:01:636,
2160,17:51:01:636,
2245,17:51:01:637,
2206,17:51:01:637,
2523,17:51:01:637,
2654,17:51:01:637,
2318,17:51:01:637,
2393,17:51:01:637,
2191,17:51:01:637,
1751,17:51:01:638,
2343,17:51:01:638,
2127,17:51:01:638,
2151,17:51:01:639,
2290,17:51:01:639,
3030,17:51:01:639,
2470,17:51:01:639,
2231,17:51:01:639,
2303,17:51:01:639,
2192,17:51:01:639,
2250,17:51:01:640,
2502,17:51:01:640,
2338,17:51:01:640,
2277,17:51:01:641,
1740,17:51:01:641,
2243,17:51:01:641,
2209,17:51:01:641,
2063,17:51:01:641,
2333,17:51:01:641,
2192,17:51:01:641,
2526,17:51:01:642,
2490,17:51:01:642,
2239,17:51:01:642,
2348,17:51:01:643,
2198,17:51:01:643,
2238,17:51:01:643,
2207,17:51:01:643,
2000,17:51:01:644,
2543,17:51:01:644,
2547,17:51:01:644,
2416,17:51:01:645,
3055,17:51:01:645,
2507,17:51:01:645,
2322,17:51:01:645,
2175,17:51:01:645,
2549,17:51:01:645,
2622,17:51:01:645,
2279,17:51:01:646,
2531,17:51:01:646,
2407,17:51:01:646,
2147,17:51:01:646,
2378,17:51:01:647,
2123,17:51:01:647,
2227,17:51:01:647,
2224,17:51:01:647,
2559,17:51:01:647,
2606,17:51:01:647,
2259,17:51:01:648,
2663,17:51:01:650,
2475,17:51:01:650,
2256,17:51:01:651,
2087,17:51:01:651,
2061,17:51:01:651,
2041,17:51:01:651,
2127,17:51:01:651,
2191,17:51:01:651,
2102,17:51:01:651,
1942,17:51:01:652,
2497,17:51:01:652,
2383,17:51:01:653,
2256,17:51:01:653,
2788,17:51:01:653,
2406,17:51:01:653,
2995,17:51:01:653,
2943,17:51:01:653,
2831,17:51:01:653,
2983,17:51:01:653,
2266,17:51:01:654,
2643,17:51:01:654,
2541,17:51:01:655,
2507,17:51:01:655,
2962,17:51:01:655,
2347,17:51:01:655,
2559,17:51:01:655,
2331,17:51:01:655,
2544,17:51:01:655,
2719,17:51:01:656,
2223,17:51:01:656,
2799,17:51:01:656,
2559,17:51:01:657,
2417,17:51:01:657,
2550,17:51:01:660,
2063,17:51:01:665,
2241,17:51:01:670,
2202,17:51:01:675,
2161,17:51:01:681,
2174,17:51:01:685,
1899,17:51:01:690,
2198,17:51:01:695,
2067,17:51:01:701,
2065,17:51:01:705,
2379,17:51:01:711,
2032,17:51:01:715,
2303,17:51:01:720,
1946,17:51:01:725,
2140,17:51:01:730,
2287,17:51:01:735,
1949,17:51:01:740,
2215,17:51:01:745,
2003,17:51:01:751,
2094,17:51:01:755,
2323,17:51:01:760,
1993,17:51:01:765,
2007,17:51:01:771,
1959,17:51:01:775,
2608,17:51:01:780,
2263,17:51:01:785,
1535,17:51:01:790,
2230,17:51:01:795,
2140,17:51:01:800,
2112,17:51:01:805,
2367,17:51:01:810,
2081,17:51:01:815,
2096,17:51:01:821,
1941,17:51:01:825,
2240,17:51:01:830,
2306,17:51:01:837,
2003,17:51:01:840,
2275,17:51:01:845,
2026,17:51:01:851,
1655,17:51:01:855,
2399,17:51:01:861,
2101,17:51:01:865,
2175,17:51:01:870,
2000,17:51:01:875,
2203,17:51:01:880,
2087,17:51:01:885,
1930,17:51:01:890,
2125,17:51:01:895,
1978,17:51:01:901,
2000,17:51:01:905,
2300,17:51:01:911,
2071,17:51:01:915,
2011,17:51:01:921,
1934,17:51:01:925,
2194,17:51:01:931,
2284,17:51:01:935,
2079,17:51:01:941,
2480,17:51:01:947,
2295,17:51:01:951,
2277,17:51:01:956,
1209,17:51:01:961,
2176,17:51:01:965,
2239,17:51:01:971,
2111,17:51:01:978,
2587,17:51:01:981,
2703,17:51:01:985,
2301,17:51:01:990,
2481,17:51:01:996,
2269,17:51:02:001,
2246,17:51:02:005,
2697,17:51:02:011,
2455,17:51:02:015,
2405,17:51:02:021,
2219,17:51:02:026,
2353,17:51:02:031,
2559,17:51:02:035,
2242,17:51:02:040,
2527,17:51:02:046,
2224,17:51:02:052,
2249,17:51:02:055,
2535,17:51:02:061,
2885,17:51:02:065,
2235,17:51:02:071,
1794,17:51:02:075,
2139,17:51:02:080,
2070,17:51:02:085,
1971,17:51:02:090,
2139,17:51:02:095,
1936,17:51:02:103,
2000,17:51:02:106,
2322,17:51:02:110,
2142,17:51:02:115,
2194,17:51:02:121,
2059,17:51:02:125,
2256,17:51:02:130,
2351,17:51:02:135,
2383,17:51:02:141,
2703,17:51:02:145,
2364,17:51:02:150,
2401,17:51:02:155,
2659,17:51:02:160,
2335,17:51:02:165,
2422,17:51:02:170,
2265,17:51:02:176,
2377,17:51:02:180,
2445,17:51:02:185,
2223,17:51:02:190,
2159,17:51:02:197,
2000,17:51:02:201,
2073,17:51:02:206,
2487,17:51:02:210,
2139,17:51:02:215,
2261,17:51:02:223,
2110,17:51:02:225,
2987,17:51:02:230,
2481,17:51:02:236,
2283,17:51:02:240,
2389,17:51:02:246,
2202,17:51:02:251,
2039,17:51:02:256,
2399,17:51:02:261,
2182,17:51:02:265,
2495,17:51:02:271,
2354,17:51:02:275,
2517,17:51:03:297,
2639,17:51:03:297,
2317,17:51:03:297,
2597,17:51:03:297,
2307,17:51:03:297,
2283,17:51:03:297,
1648,17:51:03:298,
2161,17:51:03:298,
2302,17:51:03:298,
2123,17:51:03:298,
2245,17:51:03:298,
2455,17:51:03:298,
2355,17:51:03:298,
2510,17:51:03:298,
2231,17:51:03:298,
2288,17:51:03:299,
1535,17:51:03:299,
2263,17:51:03:299,
2293,17:51:03:299,
2301,17:51:03:299,
2365,17:51:03:299,
2431,17:51:03:299,
2279,17:51:03:299,
2507,17:51:03:300,
2223,17:51:03:300,
2275,17:51:03:300,
2288,17:51:03:300,
2466,17:51:03:300,
