2095,20:51:41:138,
1971,20:51:41:140,
1936,20:51:41:142,
2487,20:51:41:144,
1851,20:51:41:146,
2961,20:51:41:147,
2411,20:51:41:149,
2202,20:51:41:150,
2851,20:51:41:151,
2315,20:51:41:153,
2677,20:51:41:157,
2763,20:51:41:162,
2559,20:51:41:170,
2559,20:51:41:172,
1883,20:51:41:176,
2277,20:51:41:181,
2429,20:51:41:187,
2415,20:51:41:192,
3036,20:51:41:196,
2241,20:51:41:203,
2421,20:51:41:206,
1078,20:51:41:212,
2359,20:51:41:216,
3145,20:51:41:221,
2242,20:51:41:226,
2455,20:51:41:231,
2181,20:51:41:236,
2435,20:51:41:241,
2739,20:51:41:248,
2001,20:51:41:251,
2223,20:51:41:256,
2127,20:51:41:262,
2401,20:51:41:271,
2773,20:51:41:280,
2014,20:51:41:281,
2130,20:51:41:282,
2023,20:51:41:286,
2055,20:51:41:292,
2247,20:51:41:296,
1715,20:51:41:302,
2267,20:51:41:306,
2416,20:51:41:312,
2303,20:51:41:316,
2960,20:51:41:322,
2035,20:51:41:326,
3675,20:51:41:333,
2278,20:51:41:336,
2112,20:51:41:342,
2065,20:51:41:346,
1697,20:51:41:352,
2598,20:51:41:357,
2455,20:51:41:362,
2147,20:51:41:366,
1983,20:51:41:372,
1535,20:51:41:376,
2303,20:51:41:382,
2151,20:51:41:389,
2064,20:51:41:392,
2322,20:51:41:397,
1902,20:51:41:402,
2263,20:51:41:407,
2188,20:51:41:412,
2608,20:51:41:419,
1972,20:51:41:421,
1714,20:51:41:426,
1819,20:51:41:431,
1712,20:51:41:436,
1730,20:51:41:442,
1941,20:51:41:448,
1631,20:51:41:451,
1979,20:51:41:456,
1755,20:51:41:462,
1808,20:51:41:466,
2282,20:51:41:472,
1727,20:51:41:476,
1858,20:51:41:482,
2118,20:51:41:487,
2005,20:51:41:492,
2448,20:51:41:496,
1930,20:51:41:501,
1998,20:51:41:506,
1967,20:51:41:512,
2453,20:51:41:516,
3095,20:51:41:521,
2211,20:51:41:526,
2333,20:51:41:532,
1232,20:51:41:536,
2431,20:51:41:544,
3047,20:51:41:546,
2223,20:51:41:552,
2335,20:51:41:556,
1716,20:51:41:562,
1936,20:51:41:566,
2506,20:51:41:574,
1893,20:51:41:576,
2002,20:51:41:582,
2185,20:51:41:586,
2046,20:51:41:592,
2698,20:51:41:596,
2212,20:51:41:603,
2415,20:51:41:607,
600,20:51:41:612,
1871,20:51:41:616,
2367,20:51:41:621,
1807,20:51:41:626,
2000,20:51:41:631,
2107,20:51:41:636,
2559,20:51:41:641,
2587,20:51:41:646,
2139,20:51:41:652,
2301,20:51:41:657,
2112,20:51:41:662,
2502,20:51:41:667,
3091,20:51:41:672,
2243,20:51:41:677,
2255,20:51:41:681,
2062,20:51:41:686,
2083,20:51:41:691,
2503,20:51:41:697,
2235,20:51:41:701,
2487,20:51:41:706,
1733,20:51:41:711,
2749,20:51:41:716,
3015,20:51:41:721,
2177,20:51:41:727,
2514,20:51:41:732,
2307,20:51:41:736,
2330,20:51:41:742,
3071,20:51:41:746,
2299,20:51:41:751,
2401,20:51:41:756,
646,20:51:41:761,
2659,20:51:41:766,
2909,20:51:41:771,
2091,20:51:41:776,
2363,20:51:41:782,
2111,20:51:41:789,
2526,20:51:41:791,
2155,20:51:41:796,
1717,20:51:41:801,
1635,20:51:41:806,
1664,20:51:41:812,
1841,20:51:41:816,
2899,20:51:41:822,
2275,20:51:41:826,
2128,20:51:41:832,
1756,20:51:41:836,
1861,20:51:41:841,
1904,20:51:41:846,
1697,20:51:41:851,
2109,20:51:41:856,
2055,20:51:41:861,
2114,20:51:41:866,
2373,20:51:41:872,
1857,20:51:41:876,
1819,20:51:41:882,
2099,20:51:41:886,
2021,20:51:41:892,
2591,20:51:41:896,
2093,20:51:41:902,
4095,20:51:41:906,
2319,20:51:41:913,
2559,20:51:41:916,
2911,20:51:41:921,
2179,20:51:41:927,
2667,20:51:41:931,
2736,20:51:41:936,
2321,20:51:41:942,
3291,20:51:41:946,
2495,20:51:41:951,
2955,20:51:41:956,
2332,20:51:41:961,
2479,20:51:41:966,
3147,20:51:41:971,
2320,20:51:41:979,
2871,20:51:42:915,
2307,20:51:42:915,
2262,20:51:42:915,
2015,20:51:42:916,
1787,20:51:42:916,
2006,20:51:42:917,
1737,20:51:42:917,
1927,20:51:42:917,
2781,20:51:42:917,
2187,20:51:42:918,
1795,20:51:42:918,
1828,20:51:42:918,
2191,20:51:42:920,
1842,20:51:42:920,
1773,20:51:42:920,
2187,20:51:42:920,
2055,20:51:42:921,
2495,20:51:42:921,
3143,20:51:42:921,
2294,20:51:42:922,
2142,20:51:42:922,
1973,20:51:42:922,
2189,20:51:42:922,
1873,20:51:42:922,
1670,20:51:42:923,
2005,20:51:42:923,
1698,20:51:42:923,
1963,20:51:42:923,
2343,20:51:42:923,
1924,20:51:42:924,
2097,20:51:42:924,
1843,20:51:42:924,
2123,20:51:42:924,
2639,20:51:42:924,
2342,20:51:42:925,
2559,20:51:42:925,
2241,20:51:42:925,
2511,20:51:42:926,
3171,20:51:42:926,
2298,20:51:42:927,
2851,20:51:42:927,
2527,20:51:42:927,
2429,20:51:42:927,
2891,20:51:42:928,
2289,20:51:42:928,
2487,20:51:42:928,
1838,20:51:42:929,
2175,20:51:42:929,
2531,20:51:42:929,
2127,20:51:42:929,
2991,20:51:42:930,
2251,20:51:42:930,
2141,20:51:42:930,
2555,20:51:42:930,
1985,20:51:42:930,
3247,20:51:42:931,
2192,20:51:42:931,
2423,20:51:42:931,
2587,20:51:42:931,
1946,20:51:42:932,
2671,20:51:42:932,
2517,20:51:42:933,
2192,20:51:42:933,
2541,20:51:42:933,
2047,20:51:42:934,
3331,20:51:42:934,
2065,20:51:42:935,
2128,20:51:42:935,
2683,20:51:42:936,
2238,20:51:42:936,
2735,20:51:42:936,
2309,20:51:42:937,
2438,20:51:42:937,
3215,20:51:42:937,
2597,20:51:42:938,
2583,20:51:42:939,
2205,20:51:42:939,
2439,20:51:42:939,
2695,20:51:42:940,
2078,20:51:42:940,
2352,20:51:42:941,
2025,20:51:42:941,
2349,20:51:42:941,
2343,20:51:42:941,
1935,20:51:42:941,
2651,20:51:42:942,
1856,20:51:42:942,
2767,20:51:42:942,
2695,20:51:42:942,
2035,20:51:42:942,
2158,20:51:42:942,
1873,20:51:42:943,
2391,20:51:42:943,
1534,20:51:42:943,
2283,20:51:42:943,
2497,20:51:42:944,
1264,20:51:42:944,
2695,20:51:42:944,
2815,20:51:42:944,
2133,20:51:42:944,
2423,20:51:42:945,
1919,20:51:42:945,
2321,20:51:42:945,
2410,20:51:42:945,
2023,20:51:42:945,
2196,20:51:42:946,
1680,20:51:42:946,
2218,20:51:42:946,
2645,20:51:42:946,
2146,20:51:42:946,
2385,20:51:42:946,
1904,20:51:42:947,
1991,20:51:42:947,
2383,20:51:42:947,
1877,20:51:42:947,
2242,20:51:42:948,
1754,20:51:42:948,
