volts,time,
1777,12:37:51:917,
1707,12:37:51:918,
1918,12:37:51:918,
1774,12:37:51:918,
2031,12:37:51:919,
1977,12:37:51:919,
1877,12:37:51:919,
2107,12:37:51:919,
1861,12:37:51:920,
1908,12:37:51:920,
2187,12:37:51:920,
1967,12:37:51:920,
2231,12:37:51:921,
1931,12:37:51:921,
2059,12:37:51:921,
1987,12:37:51:922,
1925,12:37:51:922,
1825,12:37:51:922,
1654,12:37:51:922,
1941,12:37:51:923,
2461,12:37:51:923,
2229,12:37:51:923,
2391,12:37:51:924,
2671,12:37:51:924,
2943,12:37:51:924,
2877,12:37:51:924,
2701,12:37:51:925,
2655,12:37:51:925,
2391,12:37:51:925,
2431,12:37:51:925,
2559,12:37:51:926,
2343,12:37:51:926,
2558,12:37:51:926,
2263,12:37:51:926,
2321,12:37:51:930,
2518,12:37:51:930,
2350,12:37:51:930,
2354,12:37:51:931,
1921,12:37:51:931,
4095,12:37:51:931,
2687,12:37:51:931,
2475,12:37:51:932,
2621,12:37:51:932,
2593,12:37:51:932,
2551,12:37:51:932,
2673,12:37:51:932,
2475,12:37:51:933,
2635,12:37:51:933,
2497,12:37:51:933,
2559,12:37:51:933,
2635,12:37:51:933,
2479,12:37:51:933,
2497,12:37:51:934,
2319,12:37:51:934,
2467,12:37:51:934,
2523,12:37:51:934,
2343,12:37:51:934,
2479,12:37:51:935,
2211,12:37:51:935,
1903,12:37:51:935,
2259,12:37:51:935,
2067,12:37:51:935,
2103,12:37:51:936,
1883,12:37:51:936,
1907,12:37:51:936,
2191,12:37:51:936,
2033,12:37:51:936,
2108,12:37:51:937,
1957,12:37:51:937,
1868,12:37:51:937,
2083,12:37:51:937,
1616,12:37:51:937,
1904,12:37:51:937,
1806,12:37:51:938,
1872,12:37:51:938,
1749,12:37:51:938,
1742,12:37:51:938,
1999,12:37:51:938,
1846,12:37:51:939,
1825,12:37:51:939,
1776,12:37:51:939,
1762,12:37:51:939,
1984,12:37:51:939,
1963,12:37:51:940,
2121,12:37:51:940,
2059,12:37:51:940,
1970,12:37:51:940,
2081,12:37:51:940,
1919,12:37:51:940,
2205,12:37:51:941,
2533,12:37:51:941,
2447,12:37:51:941,
2359,12:37:51:941,
2032,12:37:51:941,
2096,12:37:51:942,
2198,12:37:51:942,
2112,12:37:51:942,
2174,12:37:51:942,
1935,12:37:51:942,
2061,12:37:51:942,
2143,12:37:51:943,
2022,12:37:51:943,
1965,12:37:51:943,
1829,12:37:51:943,
1911,12:37:51:943,
2045,12:37:51:944,
1983,12:37:51:944,
2263,12:37:51:944,
2043,12:37:51:944,
2019,12:37:51:944,
2535,12:37:51:945,
2125,12:37:51:945,
2211,12:37:51:946,
2076,12:37:51:946,
2241,12:37:51:946,
2282,12:37:51:947,
2163,12:37:51:947,
3303,12:37:51:947,
3071,12:37:51:947,
2962,12:37:51:947,
3235,12:37:51:948,
2755,12:37:51:948,
2559,12:37:51:948,
2337,12:37:51:948,
2462,12:37:51:948,
2387,12:37:51:949,
2275,12:37:51:949,
2131,12:37:51:949,
2057,12:37:51:949,
2157,12:37:51:949,
2387,12:37:51:949,
2154,12:37:51:950,
3707,12:37:51:950,
2483,12:37:51:950,
2387,12:37:51:950,
2673,12:37:51:950,
2450,12:37:51:951,
2431,12:37:51:951,
2610,12:37:51:951,
2474,12:37:51:951,
2650,12:37:51:951,
2371,12:37:51:952,
2427,12:37:51:952,
2207,12:37:51:952,
2038,12:37:51:952,
2085,12:37:51:952,
2005,12:37:51:953,
2086,12:37:51:953,
1933,12:37:51:953,
1940,12:37:51:953,
2047,12:37:51:953,
1979,12:37:51:953,
2066,12:37:51:954,
1997,12:37:51:954,
2096,12:37:51:954,
2079,12:37:51:954,
1999,12:37:51:954,
2006,12:37:51:955,
1821,12:37:51:955,
2037,12:37:51:955,
2256,12:37:51:955,
2079,12:37:51:955,
2145,12:37:51:956,
2035,12:37:51:956,
2203,12:37:51:956,
2239,12:37:51:956,
2139,12:37:51:956,
2261,12:37:51:956,
2047,12:37:51:957,
1968,12:37:51:957,
2239,12:37:51:957,
2127,12:37:51:957,
2256,12:37:51:957,
2512,12:37:51:958,
2847,12:37:51:958,
3295,12:37:51:958,
3038,12:37:51:958,
3403,12:37:51:958,
3163,12:37:51:958,
3335,12:37:51:959,
3303,12:37:51:959,
3022,12:37:51:959,
3071,12:37:51:959,
2951,12:37:51:959,
3099,12:37:51:960,
3071,12:37:51:960,
3035,12:37:51:960,
2979,12:37:51:960,
2841,12:37:51:960,
2943,12:37:51:961,
2887,12:37:51:963,
2887,12:37:51:963,
2943,12:37:51:963,
2735,12:37:51:963,
2863,12:37:51:964,
2751,12:37:51:964,
2765,12:37:51:964,
2718,12:37:51:964,
2626,12:37:51:964,
2699,12:37:51:964,
2695,12:37:51:965,
2687,12:37:51:965,
2715,12:37:51:965,
2597,12:37:51:965,
2678,12:37:51:965,
2599,12:37:51:968,
2533,12:37:51:974,
2519,12:37:51:979,
2433,12:37:51:983,
2559,12:37:51:989,
2523,12:37:51:994,
2531,12:37:51:999,
2597,12:37:52:003,
2385,12:37:52:010,
2484,12:37:52:013,
2511,12:37:52:019,
2373,12:37:52:023,
2385,12:37:52:028,
2322,12:37:52:033,
2430,12:37:52:039,
2391,12:37:52:043,
2294,12:37:52:049,
2431,12:37:52:055,
2305,12:37:52:059,
2387,12:37:52:064,
2390,12:37:52:069,
2315,12:37:52:074,
1997,12:37:52:079,
2159,12:37:52:088,
2189,12:37:52:089,
2240,12:37:52:094,
2209,12:37:52:099,
2234,12:37:52:103,
2113,12:37:52:109,
2242,12:37:52:114,
2221,12:37:52:119,
2191,12:37:52:124,
2231,12:37:52:129,
2149,12:37:52:136,
2171,12:37:52:138,
2247,12:37:52:143,
2238,12:37:52:148,
2231,12:37:52:153,
2102,12:37:52:159,
2286,12:37:52:163,
2278,12:37:52:169,
2250,12:37:52:173,
2271,12:37:52:182,
2768,12:37:52:183,
2423,12:37:52:189,
2407,12:37:52:194,
2441,12:37:52:199,
2511,12:37:52:203,
2401,12:37:52:209,
2439,12:37:52:213,
2382,12:37:52:219,
2390,12:37:52:223,
2373,12:37:52:229,
2287,12:37:52:233,
2387,12:37:52:239,
2347,12:37:52:244,
2413,12:37:52:249,
2431,12:37:52:254,
2259,12:37:52:258,
2353,12:37:52:264,
2235,12:37:52:269,
2160,12:37:52:274,
2183,12:37:52:279,
2243,12:37:52:284,
2166,12:37:52:289,
2159,12:37:52:294,
2176,12:37:52:299,
2265,12:37:52:305,
2039,12:37:52:308,
2239,12:37:52:313,
2178,12:37:52:318,
2192,12:37:52:323,
2198,12:37:52:328,
2143,12:37:52:333,
2237,12:37:52:338,
2173,12:37:52:343,
2142,12:37:52:348,
2242,12:37:52:353,
2123,12:37:52:358,
2247,12:37:52:363,
2234,12:37:52:368,
2209,12:37:52:373,
2203,12:37:52:379,
2085,12:37:52:383,
2213,12:37:52:389,
2223,12:37:52:393,
2229,12:37:52:398,
2256,12:37:52:403,
2128,12:37:52:409,
2231,12:37:52:413,
2223,12:37:52:419,
2173,12:37:52:423,
2223,12:37:52:429,
2135,12:37:52:433,
2238,12:37:52:439,
2203,12:37:52:446,
2155,12:37:52:449,
2226,12:37:52:453,
2062,12:37:52:459,
2175,12:37:52:463,
2214,12:37:52:469,
2156,12:37:52:473,
2194,12:37:52:479,
2151,12:37:52:483,
2237,12:37:52:489,
2192,12:37:52:494,
2115,12:37:52:499,
2222,12:37:52:503,
2128,12:37:52:509,
2164,12:37:52:514,
2167,12:37:52:519,
2062,12:37:52:524,
2203,12:37:52:529,
2117,12:37:52:534,
2239,12:37:52:539,
2293,12:37:52:544,
2312,12:37:52:549,
2337,12:37:52:554,
2333,12:37:52:559,
2395,12:37:52:564,
2109,12:37:52:570,
2259,12:37:52:574,
2271,12:37:52:579,
2110,12:37:52:584,
2299,12:37:52:589,
2300,12:37:52:594,
2278,12:37:52:602,
2322,12:37:52:604,
2381,12:37:52:609,
2469,12:37:52:614,
2462,12:37:52:619,
2431,12:37:52:624,
2399,12:37:52:629,
2250,12:37:52:634,
2411,12:37:52:639,
2352,12:37:52:644,
2221,12:37:52:649,
2379,12:37:52:653,
2192,12:37:52:658,
2077,12:37:52:663,
2147,12:37:52:669,
2077,12:37:52:674,
2179,12:37:52:679,
2021,12:37:52:684,
2160,12:37:52:688,
2246,12:37:52:694,
2266,12:37:52:699,
2301,12:37:52:703,
2103,12:37:52:709,
2303,12:37:52:713,
2270,12:37:52:718,
2224,12:37:52:725,
2301,12:37:52:729,
2146,12:37:52:733,
1879,12:37:52:738,
2227,12:37:52:743,
2173,12:37:52:748,
2223,12:37:52:753,
2112,12:37:52:758,
2319,12:37:52:763,
2203,12:37:52:768,
2132,12:37:52:773,
2186,12:37:52:778,
2111,12:37:52:783,
2256,12:37:52:788,
2320,12:37:52:793,
2823,12:37:52:798,
2465,12:37:52:803,
2325,12:37:52:808,
2399,12:37:52:813,
2401,12:37:52:820,
2351,12:37:52:824,
2337,12:37:52:829,
2261,12:37:52:834,
2430,12:37:52:839,
2385,12:37:52:844,
2339,12:37:52:852,
1375,12:37:52:854,
2018,12:37:52:859,
2128,12:37:52:864,
2091,12:37:52:869,
1982,12:37:52:874,
2086,12:37:52:879,
1987,12:37:52:884,
